id,influencer_id,title,platform,url,thumbnail,published,year_start,year_end,era,places,tags,verified,notes
v080,ancient-girl,S3xual LOVE in Ancient Greek - EROS #ancientgreek #greekphilosophy,reel,https://www.youtube.com/watch?v=vtcpDZe5PGk,https://i.ytimg.com/vi/vtcpDZe5PGk/hqdefault.jpg,2025-03-02,-800,-300,Ancient Greek language,,greece;language;philosophy,yes,"No place: subject is a word, not a site"
v081,ancient-girl,The Unconditional LOVE in Ancient Greek - Agape #ancientgreek #greekphilosophy,reel,https://www.youtube.com/watch?v=eZlj4mT05Yk,https://i.ytimg.com/vi/eZlj4mT05Yk/hqdefault.jpg,2025-02-15,-800,-300,Ancient Greek language,,greece;language;philosophy,yes,"No place: subject is a word, not a site"
v082,ancient-girl,Gym or naked? - The crazy origin of the world GYM! #etymology #ancientgreek #funfacts,reel,https://www.youtube.com/watch?v=HEq5vwGRyLo,https://i.ytimg.com/vi/HEq5vwGRyLo/hqdefault.jpg,2025-02-10,-800,-300,Ancient Greek language,,greece;language;etymology,yes,"No place: subject is a word, not a site"
v083,einfach-antike,Athene – Götter Guide – Einfach Antike,youtube,https://www.youtube.com/watch?v=ZhGHVzcZaIA,https://i.ytimg.com/vi/ZhGHVzcZaIA/hqdefault.jpg,2026-07-26,-800,-300,Archaic and Classical Greece,athens,greece;religion;myth,yes,
v084,ancient-girl,The Ancient Olympic Games - some more weird facts #ancientgreece #history #olympichistory #olympics,reel,https://www.youtube.com/watch?v=JD-AnflQF6s,https://i.ytimg.com/vi/JD-AnflQF6s/hqdefault.jpg,2025-03-04,-776,393,Ancient Olympic Games,olympia,greece;olympics;sport,yes,
v085,ancient-girl,The Weirdest Facts about the Ancient Olympic Games #ancientgreece #history #olympichistory #olympics,reel,https://www.youtube.com/watch?v=WX5bhf_7cOc,https://i.ytimg.com/vi/WX5bhf_7cOc/hqdefault.jpg,2025-03-03,-776,393,Ancient Olympic Games,olympia,greece;olympics;sport,yes,
v086,ancient-girl,Ancient Olympics: More Weird Facts  #ancientgreece #history #olympichistory #olympics,reel,https://www.youtube.com/watch?v=gFp3xIufR7U,https://i.ytimg.com/vi/gFp3xIufR7U/hqdefault.jpg,2025-03-01,-776,393,Ancient Olympic Games,olympia,greece;olympics;sport,yes,
v087,ancient-girl,The Ancient Olympics - Weird Facts #ancientgreece #history #olympichistory #olympics,reel,https://www.youtube.com/watch?v=r3R-QGWoYX0,https://i.ytimg.com/vi/r3R-QGWoYX0/hqdefault.jpg,2025-02-27,-776,393,Ancient Olympic Games,olympia,greece;olympics;sport,yes,
v088,ancient-girl,7 Weird Facts about the Ancient Olympics #ancienthistory #ancientgreece #funfacts #olympics,reel,https://www.youtube.com/watch?v=kIqv8Z42U2o,https://i.ytimg.com/vi/kIqv8Z42U2o/hqdefault.jpg,2025-02-12,-776,393,Ancient Olympic Games,olympia,greece;olympics;sport,yes,
v089,ancient-girl,The Ancient Olympics #ancienthistory #ancientgreece #funfacts #trivia #olympics #olympicgames,reel,https://www.youtube.com/watch?v=h-SmJM9MF8U,https://i.ytimg.com/vi/h-SmJM9MF8U/hqdefault.jpg,2025-02-11,-776,393,Ancient Olympic Games,olympia,greece;olympics;sport,yes,
v090,study-antiquity,Monarchy or Republic: The Last Kings of Rome,youtube,https://www.youtube.com/watch?v=KjrhlXg6X0M,https://i.ytimg.com/vi/KjrhlXg6X0M/hqdefault.jpg,2025-06-12,-616,-509,Roman kingdom,rome,rome;monarchy;republic,yes,
v091,nota-bene,L'éclipse solaire qui a arrêté une guerre,reel,https://www.youtube.com/watch?v=6IAcI24qqpc,https://i.ytimg.com/vi/6IAcI24qqpc/hqdefault.jpg,2026-08-10,-585,-585,Archaic Anatolia,halys,antiquity;eclipse;battle,yes,"Eclipse of Thales, Lydians and Medes"
v092,archeostoria,Ciro il grande: un viaggio alla scoperta dell'antico impero persiano. Con @IncontridiStoria,youtube,https://www.youtube.com/watch?v=VV82O7CrDzE,https://i.ytimg.com/vi/VV82O7CrDzE/hqdefault.jpg,2026-01-17,-559,-530,Achaemenid Persia,pasargadae,persia;empire;cyrus,yes,
v093,study-antiquity,The Behistun Inscription of Darius the Great,youtube,https://www.youtube.com/watch?v=XymYUzHQ8T4,https://i.ytimg.com/vi/XymYUzHQ8T4/hqdefault.jpg,2026-03-03,-522,-486,Achaemenid Persia,behistun,persia;inscription;kingship,yes,
v094,kings-and-generals,Who Was Really Roman? When Did Romans Stop Being Roman?,youtube,https://www.youtube.com/watch?v=weBFFygUxxc,https://i.ytimg.com/vi/weBFFygUxxc/hqdefault.jpg,2026-09-03,-509,1453,Roman and Byzantine identity,rome;constantinople,rome;identity;byzantine,yes,Deliberately wide: the question spans the whole Roman era
v095,passe-sauvage,La découverte la plus étonnante jamais faite dans une tourbière.,reel,https://www.youtube.com/watch?v=N8i_e4W_DWg,https://i.ytimg.com/vi/N8i_e4W_DWg/hqdefault.jpg,2025-12-08,-500,400,Iron Age northern Europe,,bog-bodies;iron-age;europe,yes,No place: several bog finds discussed
v096,history-time,Who Made The Nazca Lines? And Why? - Archaeology Documentary,youtube,https://www.youtube.com/watch?v=BlXuSICaegk,https://i.ytimg.com/vi/BlXuSICaegk/hqdefault.jpg,2025-06-13,-500,500,Nazca culture,nazca,andes;geoglyphs;archaeology,yes,
v097,inrap,La tombe princière de Lavau - Éclats d'archéo #4 (Version LSF),youtube,https://www.youtube.com/watch?v=9XFO26p2bUg,https://i.ytimg.com/vi/9XFO26p2bUg/hqdefault.jpg,2026-06-29,-450,-400,Early La Tene,lavau,celts;princely-burial;france,yes,Version LSF (langue des signes française) of the site film
v098,history-hit,Ancient Historian LOVES Assassins Creed Odyssey,youtube,https://www.youtube.com/watch?v=r0EPIdV6rs8,https://i.ytimg.com/vi/r0EPIdV6rs8/hqdefault.jpg,2026-08-13,-431,-404,Peloponnesian War,athens,greece;war;reception,yes,
v099,ancient-girl,The Ancient S3x Strike of the Lisistrata #ancientgreece #funfacts #trivia,reel,https://www.youtube.com/watch?v=NoOb50FJDn8,https://i.ytimg.com/vi/NoOb50FJDn8/hqdefault.jpg,2025-03-06,-411,-411,Classical Athens,athens,greece;theatre;aristophanes,yes,
v100,kings-and-generals,When Celtic Warriors Conquered Northern Italy,reel,https://www.youtube.com/watch?v=430TRqgPrFs,https://i.ytimg.com/vi/430TRqgPrFs/hqdefault.jpg,2026-09-02,-400,-390,Celtic invasions of Italy,rome,celts;migration;battle,yes,
v101,ancient-girl,The First Female Olympic Winner #ancientgreece #ancienthistory #olympics #olympicgames #funfacts,reel,https://www.youtube.com/watch?v=p9e3b1xm3o8,https://i.ytimg.com/vi/p9e3b1xm3o8/hqdefault.jpg,2025-02-13,-396,-392,Ancient Olympic Games,olympia,greece;olympics;women,yes,Kyniska won the four-horse chariot race in 396 and 392 BCE
v102,einfach-antike,Olympias – Die Mutter Alexanders des Großen – Steckbrief Antike,youtube,https://www.youtube.com/watch?v=meO45tPP2UM,https://i.ytimg.com/vi/meO45tPP2UM/hqdefault.jpg,2026-05-31,-375,-316,Macedonian kingdom,pella,macedonia;biography;women,yes,
v103,ancient-girl,Ptolemy I  #ancienthistory #ancientgreece #ancientegypt #alexanderthegreat  #history,reel,https://www.youtube.com/watch?v=TqERz7vc8Yk,https://i.ytimg.com/vi/TqERz7vc8Yk/hqdefault.jpg,2025-02-16,-367,-282,Hellenistic Egypt,alexandria,hellenistic;egypt;ptolemies,yes,
v104,archeostoria,La porta rosa. #accaddeoggi #history #shorts #festadelladonna #architecture #italia #grecia #perte,reel,https://www.youtube.com/watch?v=o_wzMNZzzaY,https://i.ytimg.com/vi/o_wzMNZzzaY/hqdefault.jpg,2026-03-08,-350,-250,Magna Graecia,velia,greece;architecture;italy,yes,The Porta Rosa arch at Velia
v105,archeostoria,La tomba di Filippo II. #archeologia #history #curiosità#shorts #greece #macedonia #reels #perte,reel,https://www.youtube.com/watch?v=YxIAXuKom1M,https://i.ytimg.com/vi/YxIAXuKom1M/hqdefault.jpg,2025-11-09,-336,-336,Macedonian kingdom,vergina,macedonia;tomb;greece,yes,Tomb of Philip II at Vergina
v106,ancient-girl,What happens after Alexander the Great dies? - The Diadochi Era! #history #alexanderthegreat,reel,https://www.youtube.com/watch?v=pax3xbUaZsU,https://i.ytimg.com/vi/pax3xbUaZsU/hqdefault.jpg,2025-02-14,-323,-281,Wars of the Diadochi,babylon;alexandria,hellenistic;succession;war,yes,
v107,fall-of-civilizations,15. The Nabataeans - The Last Days Of Petra,youtube,https://www.youtube.com/watch?v=qSfFq02pK4s,https://i.ytimg.com/vi/qSfFq02pK4s/hqdefault.jpg,2022-07-17,-312,106,Nabataean Kingdom,petra,collapse;nabataeans;trade,yes,
v108,history-hit,The Archaeological Discovery of Petra: The Hidden City,youtube,https://www.youtube.com/watch?v=WSj1ZO9fsyU,https://i.ytimg.com/vi/WSj1ZO9fsyU/hqdefault.jpg,2026-07-30,-312,106,Nabataean Kingdom,petra,nabataeans;discovery;archaeology,yes,
v109,premodernist,The boring truth about the Library of Alexandria,youtube,https://www.youtube.com/watch?v=M4WU8gqrgsQ,https://i.ytimg.com/vi/M4WU8gqrgsQ/hqdefault.jpg,2023-08-11,-283,391,Hellenistic to Late Antique Alexandria,alexandria,knowledge;libraries;debunking,yes,
v110,toldinstone,The Rise and Fall of Pergamon,youtube,https://www.youtube.com/watch?v=CiIDqSYB0_s,https://i.ytimg.com/vi/CiIDqSYB0_s/hqdefault.jpg,2026-06-30,-282,133,Attalid Pergamon,pergamon,hellenistic;urbanism;anatolia,yes,
v111,history-time,After Alexander - The Mysterious Kingdom Of The Greco-Bactrians // Ancient History Documentary,youtube,https://www.youtube.com/watch?v=_JWll9mSLag,https://i.ytimg.com/vi/_JWll9mSLag/hqdefault.jpg,2026-04-25,-256,-125,Greco-Bactrian kingdom,ai-khanoum,hellenistic;central-asia;empire,yes,
v112,ancient-sites-girl,This Ancient Wonder Was Buried in Garbage for Hundreds of Years!,youtube,https://www.youtube.com/watch?v=W0X56pNsBJ0,https://i.ytimg.com/vi/W0X56pNsBJ0/hqdefault.jpg,2026-06-20,-237,-57,Ptolemaic Egypt,edfu,egypt;temple;excavation;ptolemaic,yes,Site identified as Edfu from the full episode linked in the description
v113,scholagladiatoria,How Roman tactics OBLITERATED enemy spear units,youtube,https://www.youtube.com/watch?v=9X1En_N_4RA,https://i.ytimg.com/vi/9X1En_N_4RA/hqdefault.jpg,2026-08-06,-200,200,Roman Empire,rome,rome;military;tactics,yes,
