influencer_id,video_id,title,published,url,thumbnail
miniminuteman,XdKSTWUbe-U,This Skull Has A Secret,2026-06-26,https://www.youtube.com/watch?v=XdKSTWUbe-U,https://i.ytimg.com/vi/XdKSTWUbe-U/hqdefault.jpg
miniminuteman,d9II55nutGY,Long Islands Geography Is Insane,2026-07-16,https://www.youtube.com/watch?v=d9II55nutGY,https://i.ytimg.com/vi/d9II55nutGY/hqdefault.jpg
miniminuteman,E2yjABcDiWQ,I Trusted Conservapedia to Teach Me Science… It Was A Mistake,2026-07-26,https://www.youtube.com/watch?v=E2yjABcDiWQ,https://i.ytimg.com/vi/E2yjABcDiWQ/hqdefault.jpg
miniminuteman,8E3PpdxtqDU,Would You Time Travel To The 1920s?,2026-08-06,https://www.youtube.com/watch?v=8E3PpdxtqDU,https://i.ytimg.com/vi/8E3PpdxtqDU/hqdefault.jpg
miniminuteman,B3Pts9eS7HU,When The USA Demolished An Ancient City…,2026-08-14,https://www.youtube.com/watch?v=B3Pts9eS7HU,https://i.ytimg.com/vi/B3Pts9eS7HU/hqdefault.jpg
miniminuteman,TcGZoQooZ3Q,Nobody Knows What Happened Here…,2026-08-20,https://www.youtube.com/watch?v=TcGZoQooZ3Q,https://i.ytimg.com/vi/TcGZoQooZ3Q/hqdefault.jpg
miniminuteman,JpWOZZ8x1L4,I Destroyed The Planet For Science,2026-08-23,https://www.youtube.com/watch?v=JpWOZZ8x1L4,https://i.ytimg.com/vi/JpWOZZ8x1L4/hqdefault.jpg
miniminuteman,Ujc5tr1YdkU,History According to Conservapedia is Insane... (Feat Atun-Shei Films),2026-09-06,https://www.youtube.com/watch?v=Ujc5tr1YdkU,https://i.ytimg.com/vi/Ujc5tr1YdkU/hqdefault.jpg
mrwissen2go-geschichte,a_3veXbOZj4,Schlechtes Internet wegen Helmut Kohl?,2026-04-09,https://www.youtube.com/watch?v=a_3veXbOZj4,https://i.ytimg.com/vi/a_3veXbOZj4/hqdefault.jpg
mrwissen2go-geschichte,ujGSxTlRnOc,"Der Krieg in Syrien: Ursachen, Eskalation und der Sturz von Assad",2026-05-07,https://www.youtube.com/watch?v=ujGSxTlRnOc,https://i.ytimg.com/vi/ujGSxTlRnOc/hqdefault.jpg
mrwissen2go-geschichte,wEOVPI39nFg,Das letzte Geheimnis von Hermann Göring,2026-05-21,https://www.youtube.com/watch?v=wEOVPI39nFg,https://i.ytimg.com/vi/wEOVPI39nFg/hqdefault.jpg
mrwissen2go-geschichte,16IehD6JS04,Die 5 größten Reiche aller Zeiten,2026-06-18,https://www.youtube.com/watch?v=16IehD6JS04,https://i.ytimg.com/vi/16IehD6JS04/hqdefault.jpg
mrwissen2go-geschichte,mvCtgHe_sXs,Odyssee – Alles beginnt mit diesem Apfel,2026-07-09,https://www.youtube.com/watch?v=mvCtgHe_sXs,https://i.ytimg.com/vi/mvCtgHe_sXs/hqdefault.jpg
mrwissen2go-geschichte,UbYOutzCqyw,Homers Odyssee: Die Geschichte dahinter,2026-07-16,https://www.youtube.com/watch?v=UbYOutzCqyw,https://i.ytimg.com/vi/UbYOutzCqyw/hqdefault.jpg
mrwissen2go-geschichte,vDs0gW7lgwk,Hitlers Leibarzt Theodor Morell: Drogen und Schmerzmittel für den „Führer“,2026-08-20,https://www.youtube.com/watch?v=vDs0gW7lgwk,https://i.ytimg.com/vi/vDs0gW7lgwk/hqdefault.jpg
mrwissen2go-geschichte,T8fgOmSrigo,Der Marshall-Plan – Europas Rettung nach dem Zweiten Weltkrieg?,2026-09-03,https://www.youtube.com/watch?v=T8fgOmSrigo,https://i.ytimg.com/vi/T8fgOmSrigo/hqdefault.jpg
